word,count
盡頭,25
花果,6
心情,5
不可捉摸,3
蔚宇小灰,1
耳邊,4
默默,9
門外漢,4
過眼,15
囥,1
一艘,2
乏味,2
當做,2
細菌,4
太多困,4
問問,1
檸檬詩,1
可貴,3
地懶,6
痴傻,2
交替,10
周,6
你會,6
貼,2
漫身,4
意思,3
這是,17
莊周,3
我還,8
濃正,3
冰入,2
未了,15
懷裡,2
水珠,4
恍惚,3
未乾,4
不給,3
還一樣,4
少年,2
與,69
微光,2
天花,4
名歌手,1
迎面,4
早已,17
大樹,3
橄欖枝,4
劇烈,8
成學問,2
價格,5
託,15
視,4
靈魂,19
眼是,6
流通,5
謊言,10
剪,2
星,7
正直,3
礡,2
鬚,3
魚在,8
冰冷,11
帶來,8
三百,4
之,10
抽屜,8
教導,2
笑點,2
掩埋,3
地盤,2
鬧鐘,7
跌進,3
名字,4
粗暴,2
狗米,1
伸出,6
食糧,2
相,18
微弱,2
燒過,2
午睡,4
濕的過,4
解禁,4
阿,7
撕裂,3
潛意識,3
睡得,4
扇,2
掙扎,3
這裡賴,2
失焦,2
曲折,5
碰到,3
轉著,8
落英,4
墨漬,3
數,2
阿毛,1
艷陽,4
多少,41
組成,14
最大,7
我們,279
理所,2
裡眨呀,7
花朵,17
正確,2
茫茫,2
提供,2
眾星,2
飛將,2
緣分,1
湯,2
眼之間,2
地獄,6
可救藥,1
碰壁,2
垃圾,8
紀念,15
似乎,4
鍵盤,2
狼,3
越離,2
邊緣,1
摘下,5
這個,36
樂,2
忽略,10
著,207
糖分,1
浪費,5
身手,4
獅還,2
終於發現,3
臉迎,2
藍天,17
燒出,2
間,79
隕,3
拋棄,2
愛還,5
丟了,4
遇見,13
開滿,4
城萬里,2
卑微,5
露水,2
夠,8
紀的,4
用,16
滴滴,2
自我,8
虛偽,4
小雨,6
全身,2
相忘,2
給它,4
換一個,3
自舊,3
狂想,1
還為,2
相對論,2
不在意,3
沙風,2
年齡,2
幻想,43
枯萎,9
自找,7
蘆笛,7
下個,2
全世界,6
夏天,27
聆,10
搏連,1
最後只,6
依據,1
只屬,6
閱讀,1
愛犧牲,2
心臟,4
情願,8
迷走,3
發售,2
無數,12
行為,3
放給,3
這季節,2
地想,2
緣,2
弄,3
沒辦法,2
慈悲,3
了不起,4
陪,19
了頭,2
手術,2
巨蛋,3
殘留,8
誰給,2
蛋殼裡,2
停靠,5
鐘那,4
真實,7
未來,32
流出,4
成灰當淚,1
就是,36
瞬間,20
過雨,2
灰塵,4
神多,2
夜燕,3
清,2
路過,2
賴著,30
轟動,4
經屬,2
維持,3
完,10
一掌,4
們,8
耳光,7
證據,2
丟下,6
倒頭,2
寂靜,4
一團,2
愛,33
做陣,3
終點,9
休息,9
堡,3
會妝點,3
增添,14
紅鞋,4
群,2
血腥,2
立下,2
飄,13
掌握,3
美的,6
框裡,2
石岩,2
已,65
不屑,4
魚群,3
餵,8
別顧,4
問愛不貼,2
交錯,21
久,7
單過,3
迷路,5
喉間,2
太重,4
刺激,3
濃煙,4
愛遇,5
著醒,5
拈花微笑,2
風中,8
至少,4
攤開,8
我下,10
仔細核,1
