word,attribute,count
沈睡,nr,4
海在,n,1
抗爭,vn,3
穿,v,18
迷惘,a,10
快樂,a,20
危樓,n,2
太,d,79
跳舞,v,12
失敗,v,3
縮小,v,4
擁有,v,26
開,zg,3
了愛,v,2
沙皇,nr,2
既有,c,4
城堡,ns,16
袂,ng,1
令人,nrt,6
哪吒,nrt,3
英文,nz,1
搖,v,5
幻沫,n,2
罪惡蛇,i,2
寂寞,a,60
除了,p,8
字片,n,4
世故,n,4
透過,v,6
平庸,a,2
收錄,v,2
稀薄,a,12
相反,v,3
館,ng,5
仰頭然,i,2
多香想心臟無法,i,1
回航,v,6
荒塚,n,2
蹟,zg,4
無風雨,i,4
陳,nr,2
綻,v,6
真相,d,4
自一,r,2
雲彩,nr,2
磁場,n,6
牛頓,nr,4
時,ng,45
天使,n,21
飛若,nr,2
眨眼,v,2
身上,s,21
光溜溜,z,2
轉角,n,3
過,ug,264
結,zg,2
開花,n,1
禰,yg,2
孔,n,5
龐快,a,4
前途,n,2
出賣,v,4
作,v,15
投身,n,3
釣,v,4
問題,n,8
檸檬詩,n,1
譫語數,n,4
掐,v,1
白晝,n,11
血滾,z,3
想起,v,23
狂,d,19
石火,n,2
走,v,134
如其,c,1
邁進,v,1
興奮,v,2
親朋,n,4
心跳,v,6
酸,n,1
麗,nr,2
回扣,v,3
飯日,t,6
支配,vn,2
包圍,v,2
被動,d,1
響徹,v,6
手撫,n,8
齒輪脈,n,3
當海,f,4
消化,vn,5
翅膀,n,40
炎,n,1
餓,v,3
那麼,r,58
煩,v,8
賢妻,n,2
別,d,55
張開雙,nr,3
響得,v,1
馨,ng,5
不過,c,6
海上,s,3
無聲,m,4
土地,n,3
笑容,n,12
躲,v,20
生,vn,10
不堪,v,10
汪洋,nr,11
不停,d,14
瞭解,v,18
總,b,24
蛋,n,4
語,ng,4
滴,n,2
放出,v,7
漏水,n,2
葉,n,2
漂流,a,18
言寄,nr,6
嘹亮,a,2
事在,t,1
星,i,2
絕色,n,2
化成,v,21
弦月,n,2
幻象,n,4
梢,ng,2
唯愛,b,1
像,v,186
空缺,a,1
各站,r,5
蔓延,v,42
照亮,v,4
頭上,s,3
察覺太,nrt,2
永恆河,nz,1
畫面,n,26
童年,t,9
離,v,29
寧靜,nr,8
星空,n,4
挑逗,v,4
重重,a,3
對待,v,2
漂浮,v,31
上山,ns,4
逞強,v,4
看蓋,v,2
屋檐,n,2
送走,v,4
眾星,n,2
劃破,v,2
喜悅,a,6
葬,vg,2
心事,n,3
集體,n,5
錄下,v,3
敏感,a,2
放到,v,4
頭,zg,1
不可,v,14
變成,v,72
同,p,20
文,ng,1
青蛙,n,2
一碗,m,2
甲白頭,n,6
當道,v,4
鉛筆,n,2
同款,n,2
熱烈,a,2
麻煩,an,6
言走過,nr,2
那種,r,9
夢,zg,10
無言,v,2
物線,n,3
公正,nr,3
迷戀,v,2
蝴蝶,n,36
川,j,2
漂亮,a,14
太,n,8
萬,m,5
線索,n,7
不及,c,6
澱,yg,8
愉快,a,4
搖曳,v,8
枯死,v,7
痛苦,an,9
炙熱,a,2
全球,n,4
腦袋,n,4
音樂飆飆飆飆飆飆飆飆飆,l,1
調味得,v,7
期盼,v,2
超載,v,4
低頭,v,2
但,c,26
作祟,v,2
感動,v,8
楊,nr,1
烏,nr,4
紅,a,23
運走,v,2
美好,a,44
蒸發,v,6
眼裡,s,3
快亮,a,2
幽浮,a,4
踩入,v,2
來說,u,3
同歸,v,2
深深,b,11
初衷,d,2
編,v,2
直覺,n,5
容貌,n,4
糧,n,1
也常,d,2
心好,a,1
長長,z,6
奪,v,5
甘願,n,8
遊戲,n,19
相對,d,2
青東,ns,4
掉頭,v,2
如春,t,2
香格里拉,nrt,2
靶,p,2
陷害,v,2
字眼,n,3
鷽,zg,1
落下,v,1
踏空,n,6
太陽,ns,29
滾出,v,8
搖晃,z,3
一生一世,l,10
出自,v,2
澆,v,5
飛魚,n,1
瘋,v,6
世俗,n,4
經歷,n,4
和,c,127
雨水,n,14
簡單,a,29
積水,n,4
莊周夢,nr,3
躲會,v,3
偶然,d,2
真理,n,3
膚,ng,2
渴盼,v,3
歐歐,ns,6
誘惑,v,2
獅,ng,2
追逐,v,4
心中,s,24
游樂,n,4
得不到,v,2
混沌,a,2
海洋,ns,27
回憶,v,19
感到,v,10
脫下,v,2
暈眩,v,2
法律,n,3
啞更聾,i,2
投情,n,1
小灰,n,1
拉不下,l,2
崩塌,v,2
劃下,v,4
彩券,n,4
一臉,m,6
更多,nr,2
動態,n,1
午夜,t,4
相連,v,2
候心,n,3
春,n,4
寫藏,v,4
海浪,nz,9
意念,n,2
慷慨,a,10
就要,d,5
回應,v,9
瓦解,v,2
著,v,78
稠悵,a,1
聞毀,v,3
嚥,y,7
佈,zg,2
明年,t,3
任,r,4
森林,n,9
睡,v,40
因,p,14
入,v,2
陰晴,nr,4
框架,n,3
看見,v,41
永恆,z,27
輕易,a,5
揮,v,9
仰,v,2
南徵,nr,4
極,d,8
跳入,v,2
無論,c,11
詩登登,nr,3
樂好,a,3
幻,vg,4
出,v,62
寶貝,nr,6
千萬,m,2
推翻,v,3
中間,f,7
越多,d,4
心上,s,14
遺囑,n,2
鞋,n,7
論,v,2
一首歌,m,12
如蔥蔥,i,2
地亂,n,2
解出,v,4
栩栩然,i,3
枯,v,2
兌現,v,4
最爛,a,5
冬夜,t,3
黑洞,ns,2
溫柔,nr,2
還,x,14
灰色,n,2
打通,v,4
無謂,v,4
手術,n,2
憤慨,a,4
呢喃,n,1
窩,n,13
來,v,148
腐壞,v,4
足,a,2
冬天,t,10
共渡,v,2
有救,v,5
拜,v,2
冷若冰,nr,2
總,n,2
甘心,n,4
麵,zg,1
扣著,v,3
走高,v,9
最爽,a,2
空房子,n,4
光線,n,8
情,n,13
成長,v,12
花梗,n,2
灌溉,vn,3
感受,v,11
失望,v,6
醜惡,a,8
般,u,15
神態,n,2
著車,n,3
黑,a,33
悲哀,a,10
透,v,5
靈和,a,2
稱謝,v,6
燃燒,v,7
聚,v,2
要死,v,2
想現,v,1
盡,v,19
不掉,v,8
口,q,11
呢,y,16
眼角,n,9
照,n,2
當,t,4
承受,v,5
韶作,ns,1
否定,v,10
苦,a,11
是不是,l,36
丰姿,a,4
拉長,v,4
這場,mq,12
受傷,v,5
夏宇,nr,4
棵,q,5
一起,m,45
緩緩,v,2
俄然,d,3
翻,v,5
甚至,d,15
前奏,n,3
狂人,n,2
交織,n,2
上帝,n,13
患,v,2
吹亂,v,4
者,k,3
遮過,v,4
了,ul,807
恩愛脫,nr,2
到紛,d,8
看,v,167
智慧,nr,4
名,q,7
下班,v,8
出能,v,2
拉開,v,11
海水,n,8
在看,u,1
落噓,v,2
習慣,n,8
地上,s,18
理所,n,2
一趟,m,6
語,v,1
哼著,v,4
反覆,v,26
倥,x,14
深水,ns,13
逼成,v,2
深遠,a,5
知多少,l,8
逃學,v,2
末,f,9
逝去,v,29
窗家,n,4
醒來,v,9
芬芳,nz,16
男,b,8
某刻,r,5
平息,n,4
為,p,74
泡嗝,n,6
說,zg,3
凋謝,v,6
千秋,nr,9
有鐘,nr,1
左右,m,7
不經,d,1
春風,n,4
因此,c,2
興孤獨聲音飄零一,i,2
千萬里,m,2
再撐,v,2
無,zg,2
命令,n,2
正妹,n,2
花無語,i,2
肯定,v,6
當然,d,2
傷心,n,7
下去,t,2
潛,v,3
天,n,4
汝,rg,2
卻,zg,12
濃縮,v,2
癡,yg,3
用力,n,20
活成,v,2
用功,n,2
冬瓜,n,1
燃起,v,6
旋轉,v,8
回想,v,6
延續,v,3
一路,m,14
萬物,n,2
風兒,n,4
掀起,v,5
長,a,47
零,m,6
蘋果,n,9
腳步,n,11
表情,n,5
要,v,129
落點,n,2
假,a,2
鏗,o,4
離別,v,2
謝謝,v,10
倔強,a,17
博來,v,2
破曉,v,8
纏,v,2
是否是,l,3
燕京,ns,1
母帶,n,1
心肝,n,5
不能自己,i,6
布幔,n,4
苦澀,a,1
爆裂,v,2
墨色,n,2
航線,n,5
玩,v,3
完美,a,21
快未,d,1
被,p,190
著火,n,5
表演,v,17
發呆,v,1
醉,v,8
傳頌,v,6
吉陪,nr,6
靜靜,nr,6
剝離,v,7
綹,q,4
餵,v,4
傻,a,19
缺,v,4
沒有,v,195
咱路,r,14
最終,d,1
惡,a,18
天氣,n,6
燒傷,v,4
吐出,v,2
一季,m,2
吉普,nr,4
盡頭,d,11
花果,n,6
心情,n,5
不可捉摸,i,3
金,ng,4
耳邊,s,21
默默,d,9
速食,n,3
遲疑,a,2
落空,n,2
囥,zg,1
一艘,m,2
乏味,a,2
群魔,n,2
細菌,n,15
距離會,n,2
越發,d,1
可貴,a,3
地懶,n,6
痴傻,v,2
交替,v,10
周,nr,9
滯,vg,7
浮,v,12
簾,q,4
意思,n,3
身材,n,2
天才,n,2
晴,v,4
濃正,a,3
驚醒,a,8
緹,g,1
手臉,n,10
未了,t,15
水珠,n,4
恍惚,a,3
咪疊,nz,2
候,v,9
澎湃,v,5
耶然,nr,1
與,p,66
微光,n,2
天花,n,4
名歌手,i,1
滾滾紅,z,2
早已,d,17
大樹,n,3
淚眼斑駁,l,3
香,a,3
劇烈,a,8
價格,n,5
託,zg,10
視,vg,11
靈魂,n,31
貘,g,3
流通,vn,5
不是故意,i,1
有心,a,3
星,n,13
正直,d,3
阿福鍵,nr,1
鬚,zg,3
冰冷,z,11
帶來,v,20
三百,m,4
之,u,32
抽屜,n,8
跪著,v,4
笑點,n,2
充滿,v,17
涅槃,ns,2
跌進,v,3
神音,n,2
名字,n,4
該,r,20
音飆飆飆飆飆飆飆飆飆,l,1
騷,a,9
宋希於,nr,1
微弱,a,2
午睡,v,4
午餐,n,4
阿,j,6
撕裂,v,3
瞳孔,n,16
潛意識,n,3
扇,q,2
掙扎,v,8
曲折,a,5
碰到,v,3
轉著,v,8
墨漬,n,3
數,m,4
裡人,nrt,2
多少,m,41
組成,v,14
最大,a,7
煽動,v,1
潑,v,6
飛唱,v,4
扣成,v,4
花朵,n,17
正確,ad,2
茫茫,z,2
提供,v,2
歌曲,n,5
主題,n,1
湯,zg,2
