word,count
假要,2
分不清,6
真,10
分看,1
每個,2
不求,1
遙遠,6
深刻,4
出點,2
開書房,3
人,35
眼看,4
柔,3
相似,7
地過,1
相伴,2
改變,3
捧,3
很長,1
隨而,1
願意,6
小孩,1
邂逅,4
一個,12
自然,6
成,8
白天,2
厭字間,2
無狀態,1
主動,4
千萬,2
想到,2
然而,3
先恨,3
到,9
回溫,2
黃,6
祂,4
菌種,1
請,5
啊,33
手冰涼,2
一遍,3
大部分,1
小鬼,18
凋零,2
忙,1
並肩,1
窗虛,2
停,2
心動,1
非,8
危險,19
厭字關,1
時常,4
不能,17
錯過,7
如,3
吳晟,1
裡萬千臉,1
一邊,2
短,2
喊,2
挑,2
解決,4
牢騷,1
降落,4
玫瑰色,11
媽媽現,1
腐敗,1
心慌,3
爆落,3
一生,2
人生,11
如人,2
方設,1
沒人敢,2
帶緩,1
如今,3
可惜,7
彙,2
河要,2
哪裡,3
歡,2
一部,1
可能,10
深入,1
追求,4
多渴,1
繼續,3
淺,4
用來,2
約,1
愛寬容,2
天然,1
深邃,2
奔跑,4
欠,1
渴人,1
這般,1
剝,1
淡淡地,2
自個,2
沒法兒,1
奇怪,4
好養,1
嫁,12
心,7
好好,8
不溫,2
如何,26
不輕言,2
不了,5
放眼望去,4
較爭,1
學會,2
儀表,1
好奇,3
早上,1
能,10
無非,2
也換,2
變得,7
逗逗,5
信仰,2
那個陽,1
信任,6
永恆短,2
還在,5
孩子,6
累,4
離開,1
脫念頭,1
吵,1
吃掉,2
尷尬,3
提,1
忘,13
俐落,1
歌活,1
不清,1
試著,4
概念,2
呵,1
賺,2
聽,22
曾,13
離別,2
必須,9
公允,4
疏離,1
五花,2
餘煙,1
舔,2
店,2
因為,10
推擠,2
門口擱,2
走過,3
尋找,1
可是,2
自真,1
美麗剛,1
還像,1
鄉間,1
扔,2
願,2
總是,7
時間裡,1
有來,1
不要,26
恨,3
因像,2
要是,2
沒變,1
慾,4
孤單,12
遠方,3
非常,5
地唱,2
陽天,4
慚愧,6
回家,2
唱,6
憂傷,1
光是,1
空虛,2
地用,1
還過,4
竄,3
值得,4
將來,1
時敗,1
地奮力,1
性子,3
完歌,2
揪,2
或是,3
然後摸,2
陽光下,1
一直,13
白天黑夜,4
很遠,1
眼前,6
放棄,5
把握,4
恐懼,5
煙,2
得,17
最壯麗,2
期待,1
共同,1
感覺,9
