word,count
可以,20
竟是,5
般的,2
時光,5
算計,2
好眠,8
不想,6
隨波,2
已過,3
容忍,2
聲音,3
注視,3
在乎,1
握著,1
搶,1
溼透,1
好看,3
覺讓,1
山窮水,2
不肯,2
廣袤,4
流淚,2
不得不,1
缺乏,1
若,4
可,14
停止,2
畢竟,1
份,1
牽手,2
很多,3
盡,4
留住,2
大地,1
夏日,2
街燈,1
破舊,2
這,37
貨幣,2
有時,2
這兩者,4
生活,28
辦法,2
一群,2
季節,2
錯,5
那些,1
這輩子,3
活,6
竊,4
深愛著,2
捏,6
評,1
比,5
思量,4
壞,8
努力,1
偽裝,1
流浪,4
南國來,6
不怕,2
還好,1
感慨,2
描著,1
安,1
這個,2
如舊,3
樂,2
縛的,3
變分,1
心底,1
詩藝,2
模模糊糊,2
繽紛,2
著離開,1
親吻,8
笑容,2
陌生,3
斟酌,1
清醒,12
剎那現,3
握有,2
曝露,1
房間,1
明滅,2
刻劃,3
時刻,3
還,1
穩當,2
視線,1
裡都,1
爭吵,3
著以,1
彈起,3
地揮汗,1
喜歡,33
那裡,1
旁觀,2
等,14
永遠,1
愛你關,1
自己,24
自已,2
空氣,2
八道,2
能給,2
我並,1
曠,1
已,21
開車,1
堅強,2
模樣,12
帆,2
而是,2
至少,4
讓,64
中神,2
等待,10
盡去,2
所有人,6
世紀裡,10
旋律,3
愛人,18
遺忘,4
憂鬱,1
斷,1
上身,2
抹,4
遲早,1
單車,1
飢餓,1
改改,3
整個,6
謙卑,2
做,12
任何,2
再練,1
彩排,3
表達,2
許並,1
已爭,1
意,2
這些,4
沒,27
上下,1
晚餐,1
了不起,1
急,1
亦,4
傷痛,1
快樂艷,1
不能不,2
活到,4
瘋狂,26
流轉,2
原諒,8
拎,2
賒,1
但是,2
難到,1
容納,1
眼神,12
仍常想,1
想念,4
呼喊,1
一切,11
各有,1
有毒,2
以面,4
憑,2
任性,2
窗,4
開心,1
發著,2
所以,11
熱滾,1
如水,1
嘴,1
雖然,2
一刻,6
希望,2
咿呀,21
私,1
一片,8
衝撞,1
害怕,4
片片,1
消滅,2
賣,6
看看,3
祈禱,3
仍然,1
過期,2
並不擁,10
盡裡,1
呀呀,24
緣份,3
十分,3
跳得,1
防備,2
排,3
享受,7
深深地,2
拒絕,2
記著,4
愛情過,2
達握,1
年代,4
這應,1
氣息,2
已經,3
想像,2
野放,1
搖美麗,1
灼身,2
解渴,1
率真,1
蕩,4
世紀末,2
他用,2
大家,15
只好,3
見,32
相信,4
川流,2
窗畢竟,1
照片,3
在手,3
賣點,2
得到,5
光採,1
遠方雨灑,1
歌,2
目標,2
剩剩,3
以,11
說明,2
命運,1
探望,1
當你,6
鐘怎麼,4
中當時,1
分不清,6
每個,2
不求,1
遙遠,6
深刻,4
出點,2
開書房,3
人,34
眼看,4
傷鮮,1
柔,3
字,12
地過,1
相伴,2
改變,5
捧,4
很長,1
我腐敗,1
愛恨,2
願意,6
小孩,1
邂逅,4
一個,12
自然,6
成,8
白天,2
無狀態,1
主動,4
千萬,2
想到,2
然而,3
先恨,3
到,9
回溫,2
黃,6
祂,4
孤獨,2
菌種,1
請,6
啊,33
黑白,5
一遍,3
大部分,1
小鬼,18
凋零,2
忙,1
並肩,1
花開,1
窗虛,2
停,2
心動,1
非,5
危險,19
置,1
時常,4
不能,17
錯過,7
如,3
吳晟,1
一邊,2
短,4
喊,2
挑,2
解決,4
牢騷,1
降落,4
玫瑰色,11
媽媽現,1
心慌,3
爆落,3
甜,2
人生,11
如人,2
方設,1
沒人敢,2
假,2
如今,3
可惜,7
彙,2
哪裡,3
一部,1
可能,10
深入,1
追求,4
多渴,1
繼續,4
淺,4
用來,2
約,1
天然,1
深邃,2
奔跑,4
欠,1
渴人,1
地愛經歷,1
攤不開,3
剝,1
淡淡地,2
自個,2
沒法兒,1
奇怪,4
好養,1
嫁,13
心,10
好好,8
不溫,2
如何,26
不輕言,2
不了,5
放眼望去,4
學會,2
儀表,1
好奇,3
早上,1
能,12
無非,2
愛我,7
也換,2
變得,7
逗逗,5
信仰,2
信任,6
忘我,3
還在,5
孩子,6
累,4
離開,1
吃掉,2
尷尬,3
提,1
忘,9
歌活,1
不清,1
試著,4
親愛的,3
概念,2
呵,1
賺,2
聽,25
曾,21
離別,2
必須,9
公允,4
疏離,1
五花,2
餘煙,1
舔,2
店,2
因為,10
推擠,2
門口擱,2
走過,5
尋找,1
可是,2
還像,1
鄉間,1
扔,2
願,2
總是,4
時間裡,1
有來,1
不要,26
瘋癲,2
恨,3
喃喃地,4
要是,2
慾,4
孤單,14
鄉,1
遠方,3
非常,5
地唱,2
陽天,4
慚愧,6
回家,2
唱,6
憂傷,1
空虛,2
等等,2
地用,1
還過,4
竄,3
值得,4
將來,1
地奮力,1
性子,3
揪,2
或是,3
一直,13
字間,2
很遠,1
眼前,6
放棄,5
把握,4
恐懼,5
煙,2
得,23
最壯麗,2
期待,1
共同,1
想透,1
幸運,2
感覺,11
天真,2
肩,1
快樂裡,2
心疼,1
有些,13
先,2
仍,7
每,4
喜悅,2
眼鏡,2
痛,4
眉眼,4
隱隱,1
雲朵,2
有人,13
